"","BIN","Borough","House","Street.Name","Job.Type","Work.Type","Permit.Status","Filing.Date","Expiration.Date","Job.Start.Date","Lat","Long"
"5751",2019493,"BRONX","328","EAST 239TH STREET","A2","OT","ISSUED","07/17/2020","03/14/2021",2020-07-20,40.900395,-73.866875
"5752",1087309,"MANHATTAN","325","5 AVENUE","A2","OT","ISSUED","07/17/2020","09/05/2020",2020-07-17,40.747428,-73.985282
"5753",4623002,"QUEENS","149-56","SANFORD AVENUE","NB","PL","ISSUED","07/17/2020","07/17/2021",2020-07-17,40.760927,-73.813
"5754",1000863,"MANHATTAN","77","WATER STREET","A2","OT","ISSUED","07/17/2020","06/08/2021",2020-02-13,40.704275,-74.008681
"5755",1045990,"MANHATTAN","1453","YORK AVENUE","A2","OT","ISSUED","07/17/2020","10/11/2020",2020-07-17,40.770216,-73.951305
"5756",1047535,"MANHATTAN","140","EAST 81 STREET","A2","OT","ISSUED","07/17/2020","06/12/2021",2020-07-17,40.776112,-73.957565
"5757",1009429,"MANHATTAN","20","5TH AVENUE","A2","OT","ISSUED","07/20/2020","04/01/2021",2020-07-20,40.732893,-73.996323
"5758",3245758,"BROOKLYN","250","WEST END AVE","A2","OT","ISSUED","07/20/2020","07/11/2021",2020-07-29,40.575706,-73.95266
"5759",3428821,"BROOKLYN","18","MONITOR","NB","","ISSUED","07/20/2020","02/20/2021",2020-07-20,40.719717,-73.941627
"5760",3428821,"BROOKLYN","18","MONITOR","NB","","ISSUED","07/20/2020","02/20/2021",2020-07-20,40.719717,-73.941627
"5761",3428821,"BROOKLYN","18","MONITOR","NB","","ISSUED","07/20/2020","02/20/2021",2020-07-20,40.719717,-73.941627
"5762",1078247,"MANHATTAN","131","CHARLES STREET","A1","","ISSUED","07/20/2020","03/27/2021",2020-07-23,40.734232,-74.007642
"5763",5155405,"STATEN ISLAND","311","VIRGINIA AVENUE","A2","OT","ISSUED","07/20/2020","04/01/2021",2020-07-16,40.610154,-74.076725
"5764",1009585,"MANHATTAN","21","WEST 11TH STREET","A2","OT","ISSUED","07/20/2020","06/13/2021",2020-07-23,40.734438,-73.995988
"5765",1076225,"MANHATTAN","25","CPW","A2","OT","ISSUED","07/20/2020","05/01/2021",2020-07-20,40.770148,-73.9804
"5766",1001838,"MANHATTAN","350","BROADWAY","A2","OT","ISSUED","07/20/2020","09/01/2020",2020-07-20,40.716954,-74.003943
"5767",1016228,"MANHATTAN","39","EAST 20TH STREET","A2","OT","ISSUED","07/20/2020","03/01/2021",2020-07-20,40.738895,-73.989081
